"TaxiID","Lon","Lat","datetime","Event","row_number"
"68994","116.1918","39.92127","20121105084809","1","1665740"
"83407","116.2266","40.06874","20121105084640","1","2102131"
"63489","116.3266","39.99097","20121105080845","1","1354924"
"66704","116.2511","39.97213","20121105080035","1","1469346"
"77446","116.238","39.94688","20121105083959","1","1997676"
"69324","116.3152","39.90215","20121105083426","1","1702336"
"77445","116.2695","39.91933","20121105084402","1","1993972"
"77446","116.1817","39.92679","20121105081934","1","1999251"
"69374","116.3366","39.88729","20121105084041","1","1713835"
"69374","116.3891","39.88237","20121105081257","1","1714239"
"77400","116.4245","39.93976","20121105080228","1","1795963"
"77400","116.4051","39.96724","20121105081738","1","1796346"
"77401","116.4196","39.94085","20121105080436","1","1798585"
"77410","116.1645","39.92485","20121105080929","1","1826897"
"77428","116.4156","39.86101","20121105081635","1","1923997"
"83409","116.388","39.85251","20121105081013","1","2110339"
"69142","116.3723","39.95675","20121105084319","1","1675312"
"69504","116.2348","39.89945","20121105085044","1","1722612"
"69784","116.1811","39.93318","20121105081510","1","1766281"
"83414","116.4554","39.95113","20121105084513","1","2120703"
"83471","116.3802","39.86339","20121105084528","1","2302917"
"63470","116.4678","39.99128","20121105085834","1","1247340"
"66654","116.3537","39.97266","20121105081510","1","1462964"
"83431","116.3635","39.97735","20121105083053","1","2179310"
"69144","116.6261","39.90425","20121105081947","1","1679440"
"69514","116.2907","39.84068","20121105084605","1","1724150"
"69514","116.2589","39.90929","20121105080738","1","1724164"
"83448","116.2252","39.90259","20121105082107","1","2221727"
"77453","116.3152","39.86808","20121105082111","1","2031522"
"77453","116.3204","39.88683","20121105084441","1","2036405"
"83448","116.3492","39.88471","20121105085937","1","2225403"
"68344","116.3535","39.86617","20121105080335","1","1555791"
"69184","116.3495","39.95076","20121105082241","1","1689455"
"69784","116.2585","39.90946","20121105083852","1","1766660"
"68834","116.4067","40.02541","20121105080833","1","1609271"
"69814","116.298","39.8804","20121105085817","1","1775066"
"83414","116.4534","39.98774","20121105080229","1","2121511"
"63489","116.3113","39.95998","20121105083344","1","1354377"
"68147","116.2731","39.90619","20121105085451","1","1545333"
"77449","116.4759","39.86857","20121105080657","1","2017492"
"83400","116.4412","39.83118","20121105083037","1","2068300"
"77442","116.3753","39.98664","20121105083613","1","1978337"
"83438","116.1616","39.76649","20121105080814","1","2196018"
"66934","116.2666","39.95255","20121105085642","1","1517124"
"77428","116.4463","39.85525","20121105080659","1","1922563"
"77441","116.297","40.04456","20121105085943","1","1973996"
"77445","116.2786","39.92148","20121105082452","1","1991594"
"78244","116.2914","39.83245","20121105083146","1","2039115"
"83462","116.2612","39.84983","20121105084904","1","2286659"
"77452","116.3531","39.92248","20121105085603","1","2029044"
"69704","116.3109","39.95024","20121105082917","1","1733244"
"69994","116.4226","39.96855","20121105085621","1","1792104"
"63402","116.2613","39.84993","20121105080731","1","868238"
"66984","116.2884","39.77842","20121105082800","1","1526760"
"77448","116.3003","39.9728","20121105082247","1","2011045"
"77448","116.3019","39.95246","20121105083219","1","2011054"
"83451","116.4307","39.93219","20121105085847","1","2241411"
"83491","116.3735","39.94413","20121105081329","1","2368581"
"68994","116.1943","39.94194","20121105085923","1","1665790"
